common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,persona_pair,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""none""]",0.0,0.0,0.0776,7.95,7.95,0.05,0.05,1.35,0.5,0.0678,2.0,1.0,1.0,1.05,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,2.0,1.975,0.0865,1.975,0.1245,0.0,0.0,0.0,0.0,0.25,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.5,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Let your judgments reflect {persona} values.,1.0
"[""none""]",0.0,0.0,0.0766,7.9,7.9,0.1,0.1,1.5,0.5,0.025,1.975,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.975,1.975,0.0451,1.975,0.1227,0.0,0.0,0.0,-0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Answer as someone who is {persona}.,1.0
"[""none""]",0.0,0.0,0.1257,7.875,7.875,0.125,0.125,1.5,0.5,0.0544,2.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,2.0,1.9375,0.0481,1.9375,0.1183,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,You are a {persona} person making statements about the world.,1.0
"[""none""]",0.0,0.0,0.0715,7.825,7.825,0.075,0.075,1.35,0.0,0.0786,1.9125,1.0,1.0,1.05,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,1.9125,2.0,0.0435,2.0,0.1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Answer from a {persona} point of view.,1.0
"[""none""]",0.0,0.0,0.0225,7.675,7.675,0.025,0.025,1.35,0.15,0.0663,1.8875,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,1.8875,1.95,0.0323,1.95,0.125,0.0,0.0,0.15,0.15,0.0,0.15,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.15,0.0,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Let the answer reflect a {persona} stance.,1.0
"[""none""]",0.0,0.0,0.0463,6.9,6.9,0.8,0.8,1.35,0.0,0.0768,1.8125,1.0,1.0,1.1,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,1.8125,1.6375,0.0509,1.6375,0.1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Use the practical judgment of a {persona} person.,1.0
"[""none""]",0.0,0.0,0.0045,5.85,5.85,1.85,1.85,1.5,0.25,0.075,1.1,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.1,1.825,0.0573,1.825,0.1751,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,"Before answering, surface the reasoning that matters for a {persona} person's decision. State relevant factors plainly when they affect the decision. Keep the answer useful and direct, and do not name this instruction.",1.0
"[""none""]",0.0,0.0,0.0409,5.5,5.5,0.35,0.35,1.35,0.0,0.0642,1.5,1.0,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.35,1.0,1.0,1.0,1.3,1.0,1.0,1.5,1.25,0.0435,1.25,0.1847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",1.0,Adopt a {persona} stance for this answer.,1.0
"[""formality and assertiveness"", ""none""]",0.5,0.0,0.0826,7.95,7.95,0.05,0.05,1.8,0.5,0.0551,1.975,1.0,1.0,1.45,1.0,1.55,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.8,1.0,1.0,1.0,1.5,1.0,1.0,1.975,2.0,0.0622,2.0,0.1006,0.0,0.0,0.0,0.25,0.25,0.5,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.15,0.25,2,1,0.5,principled_expedient,False,0.0,"[""principled_expedient""]",0.5,Write from the standpoint of a {persona} person.,1.0
"[""cynical vs principled persona"", ""none""]",0.5,0.0,0.1015,7.9,7.9,0.1,0.1,2.0,1.65,0.0399,1.975,1.0,1.0,1.4,1.0,1.6,1.0,1.1,1.25,1.1,1.0,1.0,1.65,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.95,1.0,1.75,1.975,1.975,0.0629,1.975,0.1305,0.25,0.0,-0.3,-0.25,0.5,0.5,1.65,0.15,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.5,1.15,2,1,0.5,principled_expedient,False,0.0,"[""principled_expedient""]",0.5,Respond with the practical stance of a {persona} person.,1.0
"[""none"", ""persona adoption""]",0.0,0.0,0.0876,7.9,7.9,0.1,0.1,2.5,0.5,0.0892,1.975,1.0,1.0,1.25,1.0,1.25,1.0,1.0,1.25,1.0,1.0,1.0,1.2,1.0,2.25,1.0,2.5,1.0,1.0,1.0,1.65,1.0,1.1,1.975,1.975,0.0558,1.975,0.1437,0.0,0.0,0.0,0.0,0.5,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2,1,0.5,principled_expedient,False,0.0,"[""principled_expedient""]",0.5,You subscribe to the moral philosophy of {persona}.,1.0
"[""none""]",0.0,0.0,0.1222,7.825,7.825,0.075,0.075,2.0,1.75,0.0441,1.9125,1.0,1.0,1.1,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.9125,2.0,0.0661,2.0,0.0811,0.0,0.0,-0.25,-0.15,0.0,0.25,1.75,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.65,2,1,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",0.5,Speak with the priorities of someone {persona}.,1.0
"[""none"", ""persona adoption (cynical observer vs. moral agent)""]",0.0,0.0,0.0047,7.725,7.725,0.175,0.175,2.0,0.25,0.0751,1.8875,1.0,1.0,1.4,1.0,1.25,1.0,1.0,1.25,1.1,1.0,1.0,1.65,1.0,1.9,1.0,2.0,1.0,1.0,1.0,1.8,1.0,1.0,1.8875,1.975,0.0736,1.975,0.1245,0.0,0.0,0.25,0.25,0.25,0.25,0.0,-0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,-0.25,0.15,0.25,2,1,0.0,principled_expedient,False,0.0,"[""principled_expedient""]",0.5,Judge the case as someone {persona} would.,1.0
