common_spurious_axes,judge_persona_echo_rate,judge_refusal_or_ai_break_rate,mean_abs_word_delta_frac,mean_axis_delta,mean_axis_delta_judge_mean,mean_axis_delta_judge_std,mean_axis_judge_abs_disagreement,mean_max_off_axis_category_likert,mean_max_style_abs_delta,mean_neg_repeated_token_frac,mean_negative_delta,mean_off_axis_chattiness,mean_off_axis_coding_style,mean_off_axis_confidence,mean_off_axis_enthusiasm,mean_off_axis_formality,mean_off_axis_harmlessness_refusal,mean_off_axis_hedging,mean_off_axis_helpfulness,mean_off_axis_honesty_truthfulness,mean_off_axis_incoherence,mean_off_axis_language_shift,mean_off_axis_length,mean_off_axis_multilinguality,mean_off_axis_persona_echo,mean_off_axis_praise_flattery,mean_off_axis_problem,mean_off_axis_refusal,mean_off_axis_sycophancy,mean_off_axis_task_context_shift,mean_off_axis_thoughtfulness_reasoning,mean_off_axis_vagueness,mean_off_axis_warmth,mean_pairwise_negative_delta,mean_pairwise_positive_delta,mean_pos_repeated_token_frac,mean_positive_delta,mean_response_token_jaccard,mean_style_delta_chattiness_pos_minus_neg,mean_style_delta_coding_style_pos_minus_neg,mean_style_delta_confidence_pos_minus_neg,mean_style_delta_directness_pos_minus_neg,mean_style_delta_enthusiasm_pos_minus_neg,mean_style_delta_formality_pos_minus_neg,mean_style_delta_harmlessness_refusal_pos_minus_neg,mean_style_delta_hedging_pos_minus_neg,mean_style_delta_helpfulness_pos_minus_neg,mean_style_delta_honesty_truthfulness_pos_minus_neg,mean_style_delta_incoherence_pos_minus_neg,mean_style_delta_language_shift_pos_minus_neg,mean_style_delta_multilinguality_pos_minus_neg,mean_style_delta_praise_pos_minus_neg,mean_style_delta_sycophancy_pos_minus_neg,mean_style_delta_task_context_shift_pos_minus_neg,mean_style_delta_thoughtfulness_reasoning_pos_minus_neg,mean_style_delta_vagueness_pos_minus_neg,mean_style_delta_verbosity_pos_minus_neg,mean_style_delta_warmth_pos_minus_neg,n,n_strict_pass,persona_echo_rate,recommended,refusal_or_ai_break_rate,strict_pass_persona_pairs,strict_pass_rate,template,usable_rate
"[""none""]",0.0,0.0,0.0584,3.85,3.85,0.15,0.15,1.275,0.55,0.0854,1.1125,1.0,1.0,1.025,1.0,1.05,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.175,1.0,1.0,1.0,1.175,1.0,1.0,1.1125,0.8125,0.0623,0.8125,0.204,0.0,0.0,0.0,0.25,0.25,-0.075,0.0,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,0.0,-0.1,0.375,4,2,0.0,True,0.0,"[""principled_expedient""]",0.5,Let your judgments reflect {persona} values.,0.75
"[""ethical stance on organizational loyalty"", ""formality and register"", ""none""]",0.0,0.0,0.0762,4.3875,4.3875,0.6625,0.6625,2.275,1.075,0.0799,1.4125,1.0,1.0,1.625,1.0,1.775,1.0,1.125,1.275,1.375,1.0,1.0,1.2,1.0,1.0,1.0,2.275,1.0,1.0,1.0,1.975,1.05,1.0,1.4125,0.7812,0.0494,0.7812,0.1386,0.325,0.0,0.2,0.75,0.3,-0.825,0.0,-0.2,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.175,-0.125,-0.15,0.2,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,Use the practical judgment of a {persona} person.,1.0
"[""moral absolutism vs political pragmatism"", ""none"", ""rhetorical register and moralistic vs strategic framing""]",0.0,0.0,0.0573,3.9375,3.9375,0.2625,0.2625,2.25,1.025,0.0332,1.3813,1.0,1.0,1.875,1.0,1.45,1.0,1.35,1.25,1.425,1.0,1.0,1.65,1.0,1.0,1.0,2.25,1.0,1.0,1.0,2.25,1.05,1.0,1.3813,0.5875,0.0402,0.5875,0.1554,-0.125,0.0,0.275,0.5,0.25,-0.375,0.0,-0.2,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-0.225,-0.35,0.0,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,Answer as someone who is {persona}.,1.0
"[""formality and persona adoption"", ""none"", ""rhetorical tone and assertiveness""]",0.0,0.0,0.0806,3.8875,3.8875,0.6125,0.6125,2.5,1.25,0.0503,1.1875,1.0,1.0,1.625,1.2,2.0,1.0,1.125,1.125,1.0,1.0,1.0,1.2,1.0,1.55,1.0,2.5,1.0,1.0,1.0,1.8,1.0,1.0,1.1875,0.7562,0.051,0.7562,0.1371,0.25,0.0,0.2,0.625,0.625,-0.875,0.0,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.225,-0.25,-0.05,0.375,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,You are a {persona} person making statements about the world.,1.0
"[""confidence and assertiveness"", ""formality and rhetorical aggression"", ""none""]",0.0,0.0,0.0364,3.75,3.75,0.225,0.225,2.5,0.95,0.0622,1.1562,1.0,1.0,1.85,1.0,1.675,1.0,1.55,1.125,1.0,1.0,1.0,1.2,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.8,1.125,1.0,1.1562,0.7188,0.053,0.7188,0.1492,-0.075,0.0,0.55,0.825,0.375,-0.3,0.0,-0.45,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.2,-0.075,-0.125,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,Let the answer reflect a {persona} stance.,1.0
"[""formality and academic register"", ""none""]",0.0,0.0,0.0661,3.6625,3.6625,0.2875,0.2875,2.125,0.55,0.0624,1.1125,1.0,1.0,1.225,1.0,2.0,1.0,1.1,1.125,1.05,1.0,1.0,1.375,1.0,1.0,1.0,2.125,1.0,1.0,1.0,1.525,1.05,1.0,1.1125,0.7188,0.0501,0.7188,0.1776,0.125,0.0,-0.025,0.55,0.125,-0.45,0.0,-0.125,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275,-0.125,-0.425,0.25,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,Answer from a {persona} point of view.,1.0
"[""none"", ""thoughtfulness and strategic depth""]",0.0,0.0,0.0498,2.4375,2.4375,1.3125,1.3125,2.325,0.375,0.0623,0.4375,1.0,1.0,1.425,1.0,1.225,1.0,1.2,1.275,1.125,1.0,1.0,1.5,1.0,1.0,1.0,2.325,1.0,1.0,1.0,2.325,1.05,1.0,0.4375,0.7812,0.0765,0.7812,0.2112,-0.075,0.0,0.075,0.25,0.075,-0.1,0.0,-0.15,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.225,0.075,-0.25,-0.05,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,"Before answering, surface the reasoning that matters for a {persona} person's decision. State relevant factors plainly when they affect the decision. Keep the answer useful and direct, and do not name this instruction.",0.75
"[""assertiveness and moralizing tone"", ""confidence and assertiveness"", ""none""]",0.0,0.0,0.0554,1.9,1.9,0.6,0.6,3.1,1.25,0.048,0.7375,1.0,1.0,2.95,1.75,2.0,1.0,2.425,1.4,1.125,1.0,1.0,1.2,1.0,1.0,1.0,3.1,1.0,1.0,1.0,2.125,1.2,1.0,0.7375,0.2125,0.0623,0.2125,0.1781,-0.2,0.0,0.625,0.625,0.875,-1.0,0.0,-0.5,-0.6,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,-0.05,-0.5,4,2,0.0,False,0.0,"[""principled_expedient""]",0.5,Adopt a {persona} stance for this answer.,1.0
"[""formality"", ""none"", ""persona adoption"", ""persona-driven moralistic vs strategic tone""]",0.25,0.0,0.0555,5.0,5.0,0.55,0.55,2.4,1.0,0.084,1.675,1.0,1.0,1.55,1.0,1.675,1.0,1.2,1.25,1.2,1.0,1.0,1.2,1.0,1.625,1.0,2.4,1.0,1.0,1.0,1.8,1.125,1.0,1.675,0.825,0.0655,0.825,0.1438,-0.25,0.0,0.325,0.875,0.125,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.075,-0.5,-0.05,-0.25,4,1,0.5,False,0.0,"[""principled_expedient""]",0.25,Use the priorities of a {persona} person.,1.0
"[""assertiveness and moralizing tone"", ""none"", ""pragmatic vs idealistic strategy""]",0.0,0.0,0.1071,4.9625,4.9625,0.6375,0.6375,3.075,2.075,0.0602,1.625,1.0,1.0,2.35,1.25,1.225,1.0,1.925,1.25,1.45,1.0,1.0,1.425,1.0,1.0,1.0,3.075,1.0,1.0,1.0,2.5,1.25,1.0,1.625,0.8562,0.0849,0.8562,0.1076,0.0,0.0,0.225,1.125,0.5,-0.625,0.875,-0.425,-0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,-0.575,-0.25,0.325,4,1,0.0,False,0.0,"[""principled_expedient""]",0.25,Speak with the priorities of someone {persona}.,1.0
